Systematic,Proteine,Gene
b0642,P07813,SYL
b0650,P77319,HSCC
b0651,P41409,RIHA
b0652,P0AAG3,GLTL
b0653,P0AER5,GLTK
b0654,P0AER3,GLTJ
b0655,P37902,GLTI
b0657,P23930,LNT
b0662,P75728,UBIF
b0674,P22106,ASNB
b0677,P0AF18,NAGA
b0678,P0A759,NAGB
b0679,P09323,PTW3C
b0680,P00962,SYQ
b0684,P61949,FLAV
b0688,P36938,PGM
b0692,P0AAF1,POTE
b0693,P24169,DCOS
b0696,P03961,KDPC
b0697,P03960,KDPB
b0698,P03959,KDPA
b0709,P75742,DTPD
b0720,P0ABH7,CISY
b0721,P69054,DHSC
b0722,P0AC44,DHSD
b0723,P0AC41,SDHA
b0724,P07014,SDHB
b0726,P0AFG3,ODO1
b0727,P0AFG6,ODO2
b0728,P0A836,SUCC
b0729,P0AGE9,SUCD
b0731,P54745,MNGA
b0732,P54746,MNGB
b0733,P0ABJ9,CYDA
b0734,P0ABK2,CYDB
b0736,P0A8Z3,YBGC
b0750,P11458,NADA
b0751,P0AFK2,PNUC
b0752,P75757,ZITB
b0754,P0AB91,AROG
b0755,P62707,GPMA
b0756,P0A9C3,GALM
b0757,P0A6T3,GAL1
b0758,P09148,GAL7
b0759,P09147,GALE
b0763,P37329,MODA
b0764,P0AF01,MODB
b0765,P09833,MODC
b0766,P21829,YBHA
b0767,P52697,6PGL
b0774,P12995,BIOA
b0775,P12996,BIOB
b0776,P12998,BIOF
b0777,P12999,BIOC
b0778,P13000,BIOD1
b0781,P30745,MOAA
b0783,P0A738,MOAC
b0784,P30748,MOAD
b0785,P30749,MOAE
b0789,P0AA84,CLSB
b0805,P75780,FIU
b0809,P10346,GLNQ
b0810,P0AEQ6,GLNP
b0811,P0AEQ3,GLNH
b0813,P0AA67,RHTA
b0822,P75792,SUPH
b0825,P78055,FSAA
b0826,P12282,MOEB
b0827,P12281,MOEA
b0828,P37595,IAAA
b0829,P75796,GSIA
b0830,P75797,GSIB
b0831,P75798,GSIC
b0832,P75799,GSID
b0837,P75804,YLII
b0839,P08506,DACC
b0841,P75806,YBJG
b0842,P0AEY8,MDFA
b0849,P68688,GLRX1
b0854,P31133,POTF
b0855,P31134,POTG
b0856,P31135,POTH
b0857,P0AFL1,POTI
b0860,P30860,ARTJ
b0861,P0AE30,ARTM
b0862,P0AE34,ARTQ
b0863,P30859,ARTI
b0864,P0AAF6,ARTP
b0870,P75823,LTAE
b0871,P07003,POXB
b0875,P60844,AQPZ
b0886,P23886,CYDC
b0887,P29018,CYDD
b0888,P0A9P4,TRXB
b0893,P0A8L1,SYS
b0894,P18775,DMSA
b0895,P18776,DMSB
b0896,P18777,DMSC
b0902,P0A9N4,PFLA
b0903,P09373,PFLB
b0904,P0AC23,FOCA
b0907,P23721,SERC
b0908,P0A6D3,AROA
b0910,P0A6I0,KCY
b0914,P60752,MSBA
b0915,P27300,LPXK
b0918,P04951,KDSB
b0928,P00509,AAT
b0929,P02931,OMPF
b0930,P0A8M0,SYN
b0931,P18133,PNCB
b0932,P04825,AMPN
b0933,P0AAI1,SSUB
b0934,P75851,SSUC
b0935,P80645,SSUD
b0936,P75853,SSUA
b0937,P80644,SSUE
b0945,P0A7E1,PYRD
b0954,P0A6Q3,FABA
b0957,P0A910,OMPA
b0963,P0A731,MGSA
b0968,P0AB65,ACYP
b0972,P69739,MBHS
b0973,P0ACD8,MBHL
b0974,P0AAM1,CYBH
b0978,P26459,APPC
b0979,P26458,APPB
b0980,P07102,PPA
b0996,P33226,TORC
b0997,P33225,TORA
b1002,P19926,AGP
b1006,P75892,RUTG
b1007,P75893,RUTF
b1008,P75894,RUTE
b1009,P75895,RUTD
b1010,P0AFQ5,RUTC
b1011,P75897,RUTB
b1012,P75898,RUTA
b1014,P09546,PUTA
b1015,P07117,PUTP
b1033,P75913,GHRA
b1054,P0ACV0,LPXL
b1059,P40874,MTOX
b1062,P05020,PYRC
b1064,P0AC59,GLRX2
b1069,P0AF16,MURJ
b1090,P27247,PLSX
b1091,P0A6R0,FABH
b1092,P0AAI9,FABD
b1093,P0AEK2,FABG
b1094,P0A6A8,ACP
b1095,P0AAI5,FABF
b1096,P28305,PABC
b1098,P0A720,KTHY
b1101,P69786,PTGCB
b1102,P16869,FHUE
b1106,P75948,THIK
b1107,P75949,NAGZ
b1109,P00393,DHNA
b1119,P75959,NAGK
b1123,P0AFK9,POTD
b1124,P0AFK6,POTC
b1125,P0AFK4,POTB
b1126,P69874,POTA
b1131,P0AB89,PUR8
b1134,P0AEI6,NUDJ
b1136,P08200,IDH
b1185,P0A6M2,DSBB
b1186,P0AFA7,NHAB
b1189,P0A6J5,DADA
b1190,P29012,ALR2
b1192,P76008,LDCA
b1193,P0C960,EMTA
b1197,P13482,TREA
b1198,P37349,DHAM
b1199,P76014,DHAL
b1200,P76015,DHAK
b1206,P0AFR2,DAUA
b1207,P0A717,KPRS
b1208,P62615,ISPE
b1210,P0A6X1,HEM1
b1215,P0A715,KDSA
b1216,P31801,CHAA
b1223,P10903,NARK
b1224,P09152,NARG
b1225,P11349,NARH
b1226,P0AF26,NARJ
b1227,P11350,NARI
b1232,P37051,PURU
b1236,P0AEP3,GALU
b1238,P23331,KITH
b1241,P0A9Q7,ADHE
b1243,P23843,OPPA
b1244,P0AFH2,OPPB
b1245,P0AFH6,OPPC
b1246,P76027,OPPD
b1247,P77737,OPPF
b1249,P0A6H8,CLSA
b1250,P31069,KCH
b1252,P02929,TONB
b1260,P0A877,TRPA
b1261,P0A879,TRPB
b1262,P00909,TRPC
b1263,P00904,TRPGD
b1264,P00895,TRPE
b1270,P0A9H5,BTUR
b1276,P25516,ACNA
b1277,P0A7I7,RIBA
b1278,P0A924,PGPB
b1281,P08244,PYRF
b1288,P0AEK4,FABI
b1291,P0AAH4,SAPD
b1296,P76037,PUUP
b1297,P78061,PUUA
b1298,P76038,PUUD
b1300,P23883,PUUC
b1301,P37906,PUUB
b1302,P50457,PUUE
b1308,P23857,PSPE
b1319,P76045,OMPG
b1325,P51981,AEEP
b1326,P0ACV6,MPAA
b1329,P77348,MPPA
b1363,P23849,TRKG
b1377,P77747,OMPN
b1378,P52647,NIFJ
b1380,P52643,LDHD
b1385,P80668,FEAB
b1386,P46883,AMO
b1387,P77455,PAAZ
b1388,P76077,PAAA
b1389,P76078,PAAB
b1390,P76079,PAAC
b1391,P76080,PAAD
b1392,P76081,PAAE
b1393,P76082,PAAF
b1394,P77467,PAAG
b1395,P76083,PAAH
b1397,P0C7L2,PAAJ
b1398,P76085,PAAK
b1415,P25553,ALDA
b1440,P76108,YDCS
b1441,P77795,YDCT
b1442,P77156,YDCU
b1443,P0AFR9,YDCV
b1444,P77674,ABDH
b1453,P77610,ANSP
b1463,P77567,NHOA
b1465,P0AF32,NARV
b1466,P19317,NARW
b1467,P19318,NARY
b1468,P19319,NARZ
b1469,P37758,NARU
b1473,P46136,YDDG
b1474,P24183,FDNG
b1475,P0AAJ3,FDNH
b1476,P0AEK7,FDNI
b1478,P39451,ADHP
b1479,P26616,MAO1
b1483,P77622,DDPF
b1484,P77268,DDPD
b1485,P77463,DDPC
b1486,P77308,DDPB
b1487,P76128,DDPA
b1488,P77790,DDPX
b1489,P76129,DOSP
b1492,P63235,GADC
b1493,P69910,DCEB
b1519,P76145,TAM
b1521,P0A6L7,UXAB
b1524,P0A6W0,GLSA2
b1525,P76149,SAD
b1528,P31122,SOTB
b1533,P31125,EAMA
b1539,P39831,YDFG
b1584,P0A951,ATDA
b1587,P77374,YNFE
b1588,P77783,YNFF
b1589,P0AAJ1,YNFG
b1590,P76173,YNFH
b1592,P76175,CLCB
b1599,P69210,MDTI
b1600,P69212,MDTJ
b1602,P0AB67,PNTB
b1603,P07001,PNTA
b1605,P0AAE5,ARCD
b1606,P0AFS3,FOLM
b1611,P05042,FUMC
b1612,P0AC33,FUMA
b1613,P00946,MANA
b1621,P19642,PTOCB
b1622,P23256,MALY
b1623,P22333,ADD
b1634,P77304,DTPA
b1636,P77150,PDXY
b1637,P0AGJ9,SYY
b1638,P0AFI7,PDXH
b1640,P77570,ANMK
b1646,P0AGD1,SODC
b1651,P0AC81,LGUL
b1654,P0AC69,GLRX4
b1656,P0AGD3,SODF
b1661,P0A9H7,CFA
b1662,P0AFU8,RISA
b1676,P0AD61,KPYK1
b1677,P69776,LPP
b1679,P76194,SUFE
b1680,P77444,SUFS
b1681,P77689,SUFD
b1682,P77499,SUFC
b1683,P77522,SUFB
b1684,P77667,SUFA
b1693,P05194,AROD
b1701,P38135,FADK
b1702,P23538,PPSA
b1704,P00887,AROH
b1709,P06611,BTUD
b1710,P06610,BTUE
b1711,P06609,BTUC
b1713,P07395,SYFB
b1714,P08312,SYFA
b1719,P0A8M3,SYT
b1723,P06999,PFKB
b1732,P21179,CATE
b1734,P17411,CHBF
b1740,P18843,NADE
b1744,P76215,ASTE
b1745,P76216,ASTB
b1746,P76217,ASTD
b1747,P0AE37,ASTA
b1748,P77581,ASTC
b1851,P0ADF6,EDD
b1852,P0AC53,G6PD
b1854,P21599,KPYK2
b1855,P24205,LPXM
b1857,P39172,ZNUA
b1858,P0A9X1,ZNUC
b1859,P39832,ZNUB
b1865,P0AFC0,NUDB
b1866,P21889,SYD
b1872,P46923,TORZ
b1873,P52005,TORY
b1876,P11875,SYR
b1896,P31677,OTSA
b1897,P31678,OTSB
b1900,P0AAF3,ARAG
b1901,P02924,ARAF
b1907,P0AAD4,TYRP
b1912,P0ABF8,PGSA
b1919,P76316,DCYD
b1927,P26612,AMY2
b1981,P76350,SHIA
b1982,P0AE12,AMN
b1991,P36562,COBT
b1992,P36561,COBS
b1993,P0AE76,COBU
b2010,P33013,DACD
b2019,P60757,HIS1
b2020,P06988,HISX
b2021,P06986,HIS8
b2022,P06987,HIS7
b2023,P60595,HIS5
b2024,P10371,HIS4
b2025,P60664,HIS6
b2026,P06989,HIS2
b2027,P76372,WZZB
b2028,P76373,UDG
b2029,P00350,6PGD
b2032,P37751,WBBK
b2033,P37750,WBBJ
b2034,P37749,WBBI
b2035,P37748,RFC
b2036,P37747,GLF
b2037,P37746,RFBX
b2038,P37745,RMLC
b2039,P37744,RMLA1
b2040,P37760,RMLD
b2041,P37759,RMLB1
b2045,P71242,WCAK
b2048,P24175,MANB
b2049,P24174,MANC
b2051,P32056,GMM
b2052,P32055,FCL
b2053,P0AC88,GM4D
b2065,P28248,DCD
b2066,P0A8F4,URK
b2091,P0A9S3,GATD
b2092,P69831,PTKC
b2093,P37188,PTKB
b2094,P69828,PTKA
b2095,P0C8J8,GATZ
b2096,P0C8J6,GATY
b2097,P0A991,ALF1
b2103,P76422,THID
b2104,P76423,THIM
b2114,P00959,SYM
b2128,P33359,YEHW
b2129,P33360,YEHX
b2130,P33361,YEHY
b2131,P33362,YEHZ
b2132,P33363,BGLX
b2133,P06149,DLD
b2134,P0AFI5,PBP7
b2143,P0ABF6,CDD
b2146,P76440,PRET
b2147,P25889,PREA
b2148,P23200,MGLC
b2149,P0AAG8,MGLA
b2150,P0AEE5,DGAL
b2153,P0A6T5,GCH1
b2154,P33018,SFGH2
b2155,P17315,CIRA
b2156,P25737,LYSP
b2162,P33022,RIHB
b2167,P20966,PTFBC
b2168,P0AEW9,K1PF
b2169,P69811,PTFAH
b2170,P33026,SETB
b2174,P76445,LPXT
b2197,P69490,CCME
b2198,P0ABM5,CCMD
b2199,P0ABM1,CCMC
b2200,P0ABL8,CCMB
b2201,P33931,CCMA
b2202,P0ABL5,NAPC
b2203,P0ABL3,NAPB
b2204,P33934,NAPH
b2205,P0AAL3,NAPG
b2206,P33937,NAPA
b2210,P33940,MQO
b2215,P06996,OMPC
b2221,P76458,ATOD
b2222,P76459,ATOA
b2223,P76460,ATOE
b2224,P76461,ATOB
b2232,P17993,UBIG
b2234,P00452,RIR1
b2235,P69924,RIR2
b2239,P09394,GLPQ
b2240,P08194,GLPT
b2241,P0A9C0,GLPA
b2242,P13033,GLPB
b2243,P0A996,GLPC
b2251,P52006,NUDI
b2253,P77690,ARNB
b2254,P77757,ARNC
b2255,P77398,ARNA
b2256,P76472,ARND
b2257,P76473,ARNT
b2258,P76474,ARNF
b2260,P37353,MENE
b2261,P29208,MENC
b2262,P0ABU0,MENB
b2263,P37355,MENH
b2264,P17109,MEND
b2265,P38051,MENF
b2276,P0AFF0,NUON
b2277,P0AFE8,NUOM
b2278,P33607,NUOL
b2279,P0AFE4,NUOK
b2280,P0AFE0,NUOJ
b2281,P0AFD6,NUOI
b2282,P0AFD4,NUOH
b2283,P33602,NUOG
b2284,P31979,NUOF
b2285,P0AFD1,NUOE
b2286,P33599,NUOCD
b2287,P0AFC7,NUOB
b2288,P0AFC3,NUOA
b2290,P0A959,ALAA
b2291,P76491,5DNU
b2296,P0A6A3,ACKA
b2297,P0A9M8,PTA
b2303,P0AC19,FOLX
b2306,P07109,HISP
b2307,P0AEU3,HISM
b2308,P52094,HISQ
b2309,P0AEU0,HISJ
b2310,P09551,ARGT
b2311,P0AG03,UBIX
b2312,P0AG16,PUR1
b2315,P08192,FOLC
b2316,P0A9Q5,ACCD
b2320,P05459,PDXB
b2323,P0A953,FABB
b2328,P0C0T5,MEPA
b2329,P12008,AROC
b2341,P77399,FADJ
b2342,P76503,FADI
b2344,P10384,FADL
b2366,P00926,SDHD
b2373,P0AFI0,OXC
b2374,P69902,FCTA
b2378,P0ACV2,LPXP
b2379,P77434,ALAC
b2388,P0A6V8,GLK
b2392,P0A769,MNTH
b2393,P0AFF2,NUPC
b2400,P04805,SYE
b2406,P45562,XAPB
b2407,P45563,XAPA
b2411,P15042,DNLJ
b2414,P0ABK5,CYSK
b2415,P0AA04,PTHP
b2416,P08839,PT1
b2417,P69783,PTGA
b2418,P40191,PDXK
b2421,P16703,CYSM
b2422,P16676,CYSA
b2423,P0AEB0,CYSW
b2424,P16701,CYST
b2425,P16700,CYSP
b2428,P76535,MURQ
b2429,P77272,PTYBC
b2435,P36548,AMIA
b2436,P36553,HEM6
b2440,P19636,EUTC
b2441,P0AEJ6,EUTB
b2458,P77218,EUTD
b2463,P76558,MAO2
b2464,P0A867,TALA
b2465,P33570,TKT2
b2467,P37128,NUDK
b2470,P24177,ACRD
b2472,P0AED7,DAPE
b2476,P0A7D7,PUR7
b2478,P0A6L2,DAPA
b2480,P0AE52,BCP
b2481,P23481,HYFA
b2482,P23482,HYFB
b2483,P77858,HYFC
b2484,P77416,HYFD
b2485,P0AEW1,HYFE
b2486,P77437,HYFF
b2487,P77329,HYFG
b2488,P77423,HYFH
b2489,P77668,HYFI
b2490,P77453,HYFJ
b2492,P77733,FOCB
b2497,P0AGM7,URAA
b2498,P0A8F0,UPP
b2499,P08178,PUR5
b2500,P08179,PUR3
b2501,P0A7B1,PPK1
b2502,P0AFL6,PPX
b2507,P04079,GUAA
b2508,P0ADG7,IMDH
b2514,P60906,SYH
b2515,P62620,ISPG
b2518,P0A763,NDK
b2519,P76577,PBPC
b2521,P31142,THTM
b2523,P37095,PEPB
b2528,P0AAC8,ISCA
b2529,P0ACD4,ISCU
b2530,P0A6B7,ISCS
b2533,P0ADG4,SUHB
b2536,Q47142,HCAT
b2538,P0ABR5,HCAE
b2539,Q47140,HCAF
b2540,P0ABW0,HCAC
b2541,P0CI31,HCAB
b2542,P77650,HCAD
b2551,P0A825,GLYA
b2552,P24232,HMP
b2557,P15254,PUR4
b2558,P0AGC5,MLTF
b2563,P24224,ACPS
b2564,P0A794,PDXJ
b2574,P10902,NADB
b2578,P38101,EAMB
b2579,P68066,GRCA
b2582,P0AGG4,THIO2
b2585,P23830,PSS
b2587,P0AEX3,KGTP
b2599,P0A9J8,CMPDT
b2600,P07023,TYRA
b2601,P00888,AROF
b2615,P0A7B3,NADK
b2661,P25526,GABD
b2662,P22256,GABT
b2663,P25527,GABP
b2675,P39452,RIR3
b2676,P37146,RIR4
b2677,P14175,PROV
b2678,P14176,PROW
b2679,P0AFM2,PROX
b2682,P76630,YGAZ
b2683,P43667,YGAH
b2687,P45578,LUXS
b2688,P0A6W9,GSH1
b2690,P77475,YQAB
b2697,P00957,SYA
b2701,P41052,MLTB
b2702,P56579,PTHC
b2703,P56580,PTHB
b2704,P05706,PTHA
b2705,P05707,SRLD
b2708,P17115,GUTQ
b2710,Q46877,NORV
b2711,P37596,NORW
b2715,P24241,PTIBC
b2719,P16433,HYCG
b2720,P16432,HYCF
b2721,P16431,HYCE
b2722,P16430,HYCD
b2723,P16429,HYCC
b2724,P0AAK1,HYCB
b2738,Q46890,OTNC
b2744,P0A840,SURE
b2746,P62617,ISPF
b2747,Q46893,ISPD
b2750,P0A6J1,CYSC
b2751,P23845,CYSN
b2752,P21156,CYSD
b2762,P17854,CYSH
b2763,P17846,CYSI
b2764,P38038,CYSJ
b2765,P65870,QUED
b2779,P0A6P9,ENO
b2780,P0A7E5,PYRG
b2781,P0AEY3,MAZG
b2784,P0AG20,RELA
b2787,P0AES2,GUDD
b2788,Q46915,GUDX
b2789,Q46916,GUDP
b2794,Q46920,QUEF
b2796,P0AAD6,SDAC
b2797,P30744,SDHM
b2799,P0A9S1,FUCO
b2800,P0AB87,FUCA
b2801,P11551,FUCP
b2802,P69922,FUCI
b2803,P11553,FUCK
b2810,Q46925,CSDA
b2813,P0A935,MLTA
b2817,P63883,AMIC
b2818,P0A6C5,ARGA
b2827,P0A884,TYSY
b2835,P39196,LPLT
b2836,P31119,AAS
b2838,P00861,DCDA
b2841,P0AE24,ARAE
b2866,Q46799,XDHA
b2867,Q46800,XDHB
b2868,Q46801,XDHC
b2871,P66899,DPAL
b2874,Q46807,ARCL
b2877,Q46810,MOCA
b2882,P67444,XANQ
b2883,P76641,GUAD
b2889,Q46822,IDI
b2890,P0A8N3,SYK1
b2893,P0AEG6,DSBC
b2895,P0ABY4,FLAW
b2901,Q46829,BGLA
b2903,P33195,GCSP
b2904,P0A6T9,GCSH
b2905,P27248,GCST
b2907,P25534,UBIH
b2912,P0AC28,5FCL
b2913,P0A9T0,SERA
b2914,P0A7Z0,RPIA
b2917,P27253,SCPA
b2919,P52045,SCPB
b2920,P52043,SCPC
b2923,P11667,ARGO
b2925,P0AB71,ALF
b2926,P0A799,PGK
b2927,P0A9B6,E4PD
b2930,P21437,GLPX2
b2935,P27302,TKT1
b2937,P60651,SPEB
b2938,P21170,SPEA
b2942,P0A817,METK
b2943,P0AEP1,GALP
b2947,P04425,GSHB
b2954,P52061,IXTPA
b2957,P00805,ASPG2
b2963,P0C066,MLTC
b2964,P0AFF4,NUPG
b2965,P21169,DCOR
b2975,Q46839,GLCA
b2976,P37330,MASZ
b2979,P0AEP9,GLCD
b2987,P43676,PITB
b2988,P0AES0,GSP
b2994,P0ACE0,MBHM
b2995,P37180,HYBB
b2996,P0AAJ8,HYBA
b2997,P69741,MBHT
b3001,Q46851,GPR
b3005,P0ABV2,EXBD
b3006,P0ABU7,EXBB
b3008,P06721,METC
b3012,Q46857,DKGA
b3018,P26647,PLSC
b3028,P0AEY5,MDAB
b3029,P0ADU2,YGIN
b3034,Q93K97,ADPP
b3035,P02930,TOLC
b3040,P0A8H3,ZUPT
b3041,P0A7J0,RIBB
b3052,P76658,HLDE
b3057,P60932,UPPP
b3058,P0AC16,FOLB
b3059,P60782,PLSY
b3061,P05847,TTDA
b3062,P0AC35,TTDB
b3063,P39414,TTDT
b3073,P42588,PAT
b3089,P0AGE4,SSTT
b3091,P42604,UXAA
b3092,P0A8G3,UXAC
b3093,P0AA78,EXUT
b3114,P42632,TDCE
b3115,P11868,TDCD
b3116,P0AAD8,TDCC
b3117,P0AGF6,TDCB
b3124,P23524,GLXK1
b3125,P0ABQ2,GARR
b3126,P23522,GARL
b3127,P0AA80,GARP
b3128,P39829,GARD
b3132,P0C8K0,KBAZ
b3137,P0AB74,KBAY
b3161,P0AAD2,MTR
b3172,P0A6E4,ASSY
b3176,P31120,GLMM
b3177,P0AC13,DHPS
b3182,P24228,DACB
b3187,P0AD57,ISPB
b3189,P0A749,MURA
b3196,P45394,YRBG
b3197,P45395,KDSD
b3198,P0ABZ4,KDSC
b3199,P0ADV9,LPTC
b3200,P0ADV1,LPTA
b3201,P0A9V1,LPTB
b3212,P09831,GLTB
b3213,P09832,GLTD
b3222,P45425,NANK
b3223,P0A761,NANE
b3224,P41036,NANT
b3225,P0A6L4,NANA
b3236,P61889,MDH
b3255,P0ABD8,BCCP
b3256,P24182,ACCC
b3258,P16256,PANF
b3265,P24180,ACRE
b3266,P24181,ACRF
b3281,P15770,AROE
b3288,P23882,FMT
b3290,P0AGI8,TRKA
b3350,P45522,KEFB
b3359,P18335,ARGD
b3360,P00903,PABA
b3365,P08201,NIRB
b3366,P0A9I8,NIRD
b3367,P0AC26,NIRC
b3368,P0AEA8,CYSG
b3370,P45539,FRLA
b3371,P0AC00,FRLB
b3374,P45543,FRLD
b3380,P45549,YHFW
b3384,P00954,SYW
b3385,P32662,GPH
b3386,P0AG07,RPE
b3389,P07639,AROB
b3390,P0A6D7,AROK
b3396,P02918,PBPA
b3397,P45799,NUDE
b3403,P22259,PCKA
b3409,P33650,FEOB
b3412,P13001,BIOH
b3415,P39835,GNTT
b3416,P15977,MALQ
b3417,P00490,PHSM
b3425,P0A6V5,GLPE
b3426,P13035,GLPD
b3428,P0AC86,PHSG
b3429,P0A6U8,GLGA
b3430,P0A6V1,GLGC
b3431,P15067,GLGX
b3432,P07762,GLGB
b3433,P0A9Q9,DHAS
b3437,P46859,GNTK
b3447,P18956,GGT
b3449,P10908,UGPQ
b3450,P10907,UGPC
b3451,P10906,UGPE
b3452,P10905,UGPA
b3453,P0AG80,UGPB
b3454,P22731,LIVF
b3455,P0A9S7,LIVG
b3456,P22729,LIVM
b3457,P0AEX7,LIVH
b3458,P04816,LIVK
b3460,P0AD96,LIVJ
b3469,P37617,ZNTA
b3475,P37623,ACPT
b3476,P33590,NIKA
