rxn; rxn_REV ; ; WT_rxn_flux; WT_rxn_REV_flux; ; O_rxn_flux;O_rxn_REV_flux
r_2932No1; r_2932_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2933No1; r_2933_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2934No1; r_2934_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2935No1; r_2935_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2936No1; r_2936_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2937No1; r_2937_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2938No1; r_2938_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2939No1; r_2939_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2940No1; r_2940_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2941No1; r_2941_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2942No1; r_2942_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2943No1; r_2943_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2944No1; r_2944_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2945No1; r_2945_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2946No1; r_2946_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2947No1; r_2947_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2948No1; r_2948_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2949No1; r_2949_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2950No1; r_2950_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2951No1; r_2951_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2952No1; r_2952_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2953No1; r_2953_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2954No1; r_2954_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2955No1; r_2955_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
r_2956No1; r_2956_REVNo1; ; 0.0; 0.0; ;0.0; 0.0
