,internal_id,uniprot_id,external_id
239,sseA,P31142,b2521 JW2505
240,xapA,P45563,pndA b2407 JW2398
241,ulaD,P39304,sgaH yjfV b4196 JW4154
242,wzc,P76387,b2060 JW2045
243,yqhD,Q46856,b3011 JW2978
244,tyrB,P04693,b4054 JW4014
245,ygdG,P38506,exo xni b2798 JW5446
246,wecC,P27829,rffD b3787 JW5599
247,pabB,P05041,b1812 JW1801
248,paoC,P77489,yagR b0284 JW0278
249,glnD,P27249,b0167 JW0162
250,pdxK,P40191,yfeI b2418 JW2411
251,mgtT,A0A7H2C781,ECK4632 b4775 P0DSF3 b4775
252,yadX,A0A7H2C771,ECK4622 b4765 P0DSE3 b4765
253,ypjL,A0A0T7C0U2,JW5922
254,yfjV,A0A0S1EZS3,JW2621
255,pssL,A0A7H2C788,ECK4639 b4782 P0DSG0 b4782
256,ysgD,A0A7H2C7A6,ECK4656 b4799 P0DSH7 b4799
257,ytgA,A0A7H2C7A7,ECK4657 b4800 P0DSH8 b4800
258,baxL,A0A7H2C7A0,ECK4651 b4794 P0DSH2 b4794
259,yriA,A0A7H2C797,ECK4648 b4791 P0DSG9 b4791
260,ybiE,A0A7H2C775,ECK4626 b4769 P0DSE7 b4769
261,yqhJ,A0A7H2C792,ECK4643 b4786 P0DSG4 b4786
262,yfiS,A0A7H2C789,ECK4639 b4783 P0DSG1 b4783
263,yhgO,A0A7H2C794,ECK4645 b4788 P0DSG6 b4788
264,ythB,A0A7H2C7A9,ECK4659 b4802 P0DSI0 b4802
265,ytiB,A0A7H2C773,ECK4624 b4767 P0DSE5 b4767
266,ychT,A0A7H2C777,ECK4627 b4771 P0DSE9 b4771
267,yncP,A0A7H2C780,ECK4631 b4774 P0DSF2 b4774
268,ymiD,A0A7H2C778,ECK4629 b4772 P0DSF0 b4772
269,ysaE,A0A7H2C799,ECK4650 b4793 P0DSH1 b4793
270,yljB,A0A7H2C776,ECK4627 b4770 P0DSE8 b4770
271,yibX,A0A7H2C7A1,ECK4652 b4795 P0DSH3 b4795 A0A7H2C7A2 ECK4652 b4795
272,yriB,A0A7H2C798,ECK4649 b4792 P0DSH0 b4792
273,ygiA,A0A385XJN2,ECK3027 b3036
274,yncM,A0A3G0QC22,JW5237
275,yoaM,A0A7H2C785,ECK4636 b4779 P0DSF7 b4779
276,yhiY,A0A7H2C796,ECK4647 b4790 P0DSG8 b4790
277,mglA,P0AAG8,b2149 JW2136
278,oppF,P77737,b1247 JW1239
279,frvA,P32155,yiiK b3900 JW3871
280,queD,P65870,ygcM b2765 JW2735
281,rarA,P0AAZ4,mgsA ycaJ b0892 JW0875
282,rplI,P0A7R1,b4203 JW4161
283,rsuA,P0AA43,yejD b2183 JW2171
284,smf,P30852,b4473 JW5708
285,smrA,P76053,ydaL b1340 JW1334
286,mnaT,P76112,yncA b1448 JW5233
287,lpxP,P0ACV2,ddg b2378 JW2375
288,mltF,P0AGC5,yfhD b2558 JW2542
289,msrB,P0A746,yeaA b1778 JW1767
290,rseC,P46187,b2570 JW2554
291,speA,P21170,b2938 JW2905
292,slyA,P0A8W2,b1642 JW5267
293,ytjB,P0AGC7,smp b4387 JW4350
294,tfaS,P77326,b2353 JW5383
295,tomB,P0AAR0,ybaJ b0461 JW0450
296,traU,P18471,ECOK12F087
297,traL,P08321,ECOK12F075
298,pgm,P36938,b0688 JW0675
299,pphB,P55799,prpB ygbH b2734 JW2704
300,agaD,P42911,yraF b3140 JW3109
301,recG,P24230,radC b3652 JW3627
302,rhaM,P32156,yiiL b3901 JW3872
303,rsmE,P0AGL7,yggJ b2946 JW2913
304,safA,P76136,yneN b1500 JW1494.1
305,sfmF,P38052,ybcG b0534 JW5072
306,sohB,P0AG14,b1272 JW1264
307,smg,P0A828,b3284 JW3245
308,sgcE,P39362,yjhK b4301 JW4263
309,srlR,P15082,gutR b2707 JW2676
310,osmY,P0AFH8,b4376 JW4338
311,treB,P36672,b4240 JW4199
312,psuT,P33024,pscT yeiM b2164 JW2151
313,gatB,P37188,b2093 JW2077
314,srlE,P56580,gutA gutE b2703 JW5430
315,rbsA,P04983,b3749 JW3728
316,rlmF,P75782,ybiN b0807 JW5107
317,rpnA,P31667,yhgA b3411 JW3374
318,sdhE,P64559,cptB ygfY b2897 JW2865
319,srnB,P13970,ECOK12F004/ECOK12F005
320,plaP,P0AA47,yeeF b2014 JW5330
321,bglF,P08722,bglC bglS b3722 JW3700
322,rplX,P60624,b3309 JW3271
323,rpmB,P0A7M2,b3637 JW3612
324,rutR,P0ACU2,ycdC b1013 JW0998
325,pheS,P08312,b1714 JW5277
326,thiM,P76423,b2104 JW2091
327,rpsI,P0A7X3,b3230 JW3199
328,rsd,P0AFX4,b3995 JW3959
329,rutF,P75893,ycdH b1007 JW5138
330,rspR,P0ACM2,ydfH b1540 JW1533
331,rstB,P18392,uspT b1609 JW1601
332,rsmF,P76273,yebU b1835 JW5301
333,glyS,P00961,glyS(B) b3559 JW3530
334,thiD,P76422,thiJ b2103 JW2090
335,tfaR,P77163,ynaC b1373 JW1367
336,treF,P62601,b3519 JW3487
337,tolQ,P0ABU9,fii b0737 JW0727
338,traT,P13979,ECOK12F101
339,trhP,P76403,yegQ b2081 JW2066
340,traR,P41065,ECOK12F083
341,ttdA,P05847,ygjA b3061 JW3033
342,nupX,P33021,yeiJ b2161 JW2148
343,phnN,P16690,b4094 JW4055
344,php,P45548,yhfV b3379 JW3342
345,pepT,P29745,b1127 JW1113
346,rplN,P0ADY3,b3310 JW3272
347,rfbC,P37745,rmlC b2038 JW2023
348,rnlB,P52130,yfjO b2631 JW5418
349,sfsA,P0A823,sfs1 b0146 JW0142
350,ychA,P0AGM5,sirB1 b1214 JW1205
351,tam,P76145,yneD b1519 JW1512
352,traV,P41069,ECOK12F082
353,traE,P08322,ECOK12F076
354,tnpA,Q00037,ECOK12F010
355,eutQ,P76555,ypfC b2460 JW2444
356,focB,P77733,b2492 JW2477
357,flgK,P33235,flaS flaW b1082 JW1069
358,glnQ,P10346,b0809 JW0794
359,insC4,P0CF43,b2861 JW2829
360,lgoR,P39399,yjjM b4357 JW5792
361,lasT,P37005,yjtD b4403 JW4366
362,rhoL,P0ADF3,b3782 JW3755
363,manC,P24174,cpsB rfbM b2049 JW2034
364,lysO,P75826,ybjE b0874 JW0858
365,metQ,P28635,yaeC b0197 JW0193
366,pepE,P0A7C6,b4021 JW3981
367,potG,P31134,b0855 JW5818
368,sapF,P0AAH8,b1290 JW1283
369,frmB,P51025,yaiM b0355 JW0346
370,slp,P37194,b3506 JW3474
371,thiP,P31549,yabK b0067 JW0066
372,potF,P31133,b0854 JW0838
373,purD,P15640,b4005 JW3969
374,rcnB,P64534,yohN b2107 JW5346
375,pxpC,P75745,ybgK b0712 JW0702
376,rfaG,P25740,pcsA waaG b3631 JW3606
377,rlmC,P75817,rumB ybjF b0859 JW0843
378,rzoR,P58042,b4528 JW5213
379,rsmD,P0ADX9,yhhF b3465 JW3430
380,rsxD,P76182,rnfD ydgO b1630 JW1622
381,sapA,Q47622,b1294 JW1287
382,secM,P62395,srrA yacA b0097 JW5007
383,sbcD,P0AG76,yajA b0398 JW0388
384,scpB,P52045,mmcD ygfG b2919 JW2886
385,murC,P17952,b0091 JW0089
386,nadC,P30011,b0109 JW0105
387,murR,P77245,yfeT b2427 JW2420
388,nohA,P31061,nohQ b1548 JW1541
389,nrfD,P32709,yjcK b4073 JW4034
390,nusG,P0AFG0,b3982 JW3945
391,pdeR,P77334,gmr yciR b1285 JW1278
392,slyB,P0A905,b1641 JW1633
393,pheT,P07395,b1713 JW1703
394,talA,P0A867,b2464 JW2448
395,tcdA,Q46927,csdL ygdL b2812 JW2783
396,rluD,P33643,sfhB yfiI b2594 JW2576
397,sprT,P39902,yggI b2944 JW2911
398,yihT,P32141,b3881 JW3852
399,ssuA,P75853,ycbO b0936 JW0919
400,rpsB,P0A7V0,b0169 JW0164
401,selU,P33667,ybbB b0503 JW0491
402,symE,P39394,dinL sosC yjiW b4347 JW4310
403,hisS,P60906,b2514 JW2498
404,tyrA,P07023,b2600 JW2581
405,oppD,P76027,b1246 JW1238
406,phoP,P23836,b1130 JW1116
407,frvB,P32154,yiiJ b3899 JW5562
408,chbA,P69791,celC b1736 JW1725
409,yfaD,P37014,b2244 JW2238
410,soxS,P0A9E2,b4062 JW4023
411,thiQ,P31548,yabJ b0066 JW0065
412,tamB,P39321,ytfN ytfO b4221 JW4180
413,trhO,P24188,yceA b1055 JW1042
414,traK,P41066,ECOK12F077
415,tnpR,P03012,ECOK12F009
416,repA1,P13960,
417,prfA,P0A7I0,sueB uar b1211 JW1202
418,rluC,P0AA39,yceC b1086 JW1072
419,rnd,P09155,b1804 JW1793
420,sseB,P0AFZ1,b2522 JW5404
421,tadA,P68398,yfhC b2559 JW2543
422,traN,P24082,ECOK12F089
423,ugpA,P10905,b3452 JW3417
424,ung,P12295,b2580 JW2564
425,uxaC,P0A8G3,ygjX ygjY ygjZ b3092 JW3063
426,pflB,P09373,pfl b0903 JW0886
427,proV,P14175,b2677 JW2652
428,rseB,P0AFX9,b2571 JW2555
429,rzpQ,P76158,ydfP b1553 JW1545
430,rutC,P0AFQ5,ycdK b1010 JW0995
431,speB,P60651,b2937 JW2904
432,sgrR,P33595,yabN b0069 JW0068
433,sixA,P76502,yfcW b2340 JW2337
434,glyQ,P00960,glyS(A) b3560 JW3531
435,tabA,P0AF96,yjgK b4252 JW5756
436,traH,P15069,ECOK12F098
437,phnE1,P0DP69,b4104 JW4065
438,hyuA,Q46806,ygeZ b2873 JW2841
439,qorA,P28304,hcz qor qor1 b4051 JW4011
440,rimO,P0AEI4,yliG b0835 JW0819
441,rpmH,P0A7P5,rimA ssaF b3703 JW3680
442,rraB,P0AF90,yjgD b4255 JW4212
443,rssA,P0AFR0,ychK b1234 JW1222
444,rzoQ,C1P601,b4689 JW1545.1
445,selB,P14081,fdhA b3590 JW3563
