Gene;yB8n055.03II01.batch.p1;yB8n056.03II01.batch.p2;yB8n057.03II01.batch.p3;yB8n058.03II01.batch.p4;yB8n059.03II01.batch.p5;yB8n060.03II01.batch.p6;yB8n061.03II01.batch.p7;yB8n062.03II01.batch.p8;yB8n063.03II01.batch.p9;yB8n064.03II01.batch.p10;yB8n065.03II01.batch.p11;yB8n066.03II01.batch.p12;yB8n044.Low.D.chemostat.vs..High.D.chemostat
YJL089W;0.398364213;-10.93163209;-8.571348814;-8.520603795;-7.276268558;-11.62046575;-7.950466501;9.246709632;10.95938079;11.78717032;14.43166693;-17.59111027;3.397881712
YFL052W;-0.212929283;-1.113415027;-0.650126923;-0.150323518;-1.72311776;-1.511185004;0.198137415;3.496359094;1.46460515;3.431988668;2.334434919;-4.085694131;-1.105590985
YBR066C;-4.195394379;5.78153696;2.218257046;2.941731912;-0.498470996;2.895560703;2.52481812;-2.689145519;-1.532908943;-6.503856511;-5.38291217;8.350614244;1.484688282
YDR009W;0.410607128;1.221394985;2.369070981;1.055711703;-3.749299783;-5.134625407;0.265194754;0.29368015;4.759359163;1.42907468;3.571320556;-3.013881696;-0.985620785
YGR063C;-1.026643594;13.4157617;9.512245335;8.498686582;-1.67025113;8.384828348;10.69671199;-11.14784188;-5.939423077;-14.59650705;-13.16955031;16.65597353;-0.890632601
YLR183C;3.447160753;14.93173181;12.67648411;11.91303517;6.712478435;13.78700704;13.52644751;-14.78690561;-14.87704059;-18.20524718;-18.07403419;20.14927737;-3.901194347
YKL038W;0.55135812;-6.009931879;-4.00468104;-4.35745008;1.599525342;-2.727647699;-5.125248563;5.857315473;2.580238647;5.988541229;4.911507636;-8.05553868;0.2148421
YOR290C;-1.390322792;-5.476413357;-4.110085872;-4.73839763;1.950074083;-0.521107737;-4.563432105;4.608970601;1.354622441;5.944411885;3.871759249;-3.747848404;0.914881723
YMR280C;-6.474011788;-13.32358015;-12.15022141;-10.64992609;-4.445861458;-8.184407432;-9.578826722;14.43493573;12.57647514;17.07009425;12.26410611;-14.03013733;2.957494216
YJL103C;-5.203656264;-7.400197713;-7.246929071;-5.651226626;-3.858705055;-1.838823716;-4.406323851;8.542400149;7.916288884;10.08770215;8.171855624;-7.036595777;0.634782866
