,Unnamed: 0,Target,coact,corep,Coef.Acts,Coef.Reps,Coef.coActs,Coef.coReps,R2,RMSE,interactions,coop,MergeScore
2034,1140600,YBR153W,YML113W YBR240C,YLR256W YOR344C YJL056C,0.649527629010482 0.556489634072774,-0.290610703615304,"-0,0501350553935367","0,00148700340666823","0,664686514581225","0,333899466978366","0,2",0,"0,288228838193742"
2035,1140744,YMR139W,YIL154C YMR053C YGR067C,YBR066C YLR183C,0.390337728549679 0.846898628816857 0.311741141932654,-0.00289734353505791 0.311741141932654 0.846898628816857,"-0,00332541087331848","0,00171214546679968","0,830741985653847","0,28951013484605",0,0,"0,276913995217949"
2036,1140833,YFL033C,YDR096W YIL154C YHL027W,YLR183C YDR451C,0.106614692488115 -0.0524576353076797 0.250071449873603,-0.195562746596944 0.250071449873603 -0.0524576353076797,"0,0015793533223932","0,0290861807299023","0,785231938384764","0,269481466364733",0,0,"0,261743979461588"
2037,1140974,YCR028C-A,YDR216W YIL119C YBR240C,YGL197W YJL089W YGR067C,-0.0887354823472051 -0.149988812925263 -0.17578711509269,-0.524629844272155 -0.17578711509269,"0,00504264444391602","0,00281732077725085","0,502780831892234","0,385207322162064",0,0,"0,167593610630745"
2038,1141063,YBR192W,YGR063C YLR183C,YLR256W YIR017C YLR136C,0.298419653831292 0.0491644655409622,0.188193508987669,"0,0144660307699601","-0,00365700002523478","0,753374151271427","0,357153592048474",0,0,"0,251124717090476"
2039,1141226,YHL024W,YMR280C YJL089W YGR067C,YGL209W,0.369658431862387 1.1364461061012 1.00535297682673,-0.167162062089558,"-0,00794240711833832",,"0,781664391781387","0,815452651156983",0,0,"0,260554797260462"
2040,1141382,YGL045W,YDR423C YKL038W YJL089W,YBR033W YCL055W,0.530059985121194 0.423975669605634 0.385481825987002,0.724878150172555 0.385481825987002 0.423975669605634,"-0,00310303200384854","-0,10891294521865","0,657663031952232","0,310830014595326",0,0,"0,219221010650744"
2041,1141419,YMR063W,YOL067C YBL066C YGR067C,YBR033W,0.344328615596084 0.550750403904617 -0.0738528899207279,-0.171950897022987,"-0,000677303357088828",,"0,51851731650566","0,412600336721271",0,0,"0,172839105501887"
2042,1141540,YOR119C,YDR009W YBL054W,YLR183C,-0.0486661004701622 0.147402110161566,-0.245521188333116,"0,030953555621095",,"0,578022775545335","0,458346687763082",0,0,"0,192674258515112"
2043,1142191,YNL207W,YLR183C YDR266C,YFL044C YFR034C YDR169C,-1.21876441284072 -0.67750945098275,-0.113576734373095,"0,146924957435776","0,00169272813538572","0,499766691755798","0,484115812630217",0,"0,25","0,249922230585266"
2044,1142578,YEL024W,YMR280C YJL103C YKL109W,,-0.0512731370707639 1.26563873115928 0.441355097377824,,"-0,00305393047720822",,"0,582679222938753","0,722653200060662",0,0,"0,194226407646251"
2045,1142625,YHR197W,YBL054W,YMR280C YIL036W,0.577150002459652,-0.535394947270916,,"0,0307114473657136","0,789819940171028","0,475957487559903","0,333333333333333",0,"0,374384424501454"
2046,1142867,YLL034C,YKR099W YBL054W,YDR216W YJL089W,0.871600311627066 0.759837125349815,0.233920356957877 0.759837125349815,"-0,0488094014222593","-0,0599278739339323","0,800260833872107","0,385298922249895","0,25",0,"0,350086944624036"
2047,1142979,YOR095C,YML113W YGR063C,YMR053C YGR067C,-0.597479950231245 -0.540835316148836,-1.87102759563519 -0.540835316148836,"0,106545452472553","0,125275173898727","0,657233174994166","0,638781469126049",0,0,"0,219077724998055"
2048,1143340,YMR247C,YDR266C,YFL044C YFR034C YLR136C,0.509826236364921,0.335574521414297 0.271430586854916,,"-0,00501192400869766","0,46825918146216","0,408210058631043",0,"0,333333333333333","0,267197504931831"
2049,1143555,YDR091C,YGR063C YLR183C,YDR423C YMR280C YPL230W,0.780797056814724 1.36310883811063,-0.804779316999781,"-0,12033493336009","0,000809830009077145","0,611677362856952","0,564319204169658",0,0,"0,203892454285651"
2050,1143666,YLR009W,YBL054W,YFL021W YOR290C YGR067C,0.735905388056036,-0.072319770391401 0.136984445013974,,"-0,00341651154743532","0,804328406767732","0,509941490568269",0,0,"0,268109468922577"
2051,1143757,YNL002C,YML113W,YMR280C YDR096W,0.771931765362686,0.428786532927292,,"-0,0614382881129638","0,733621550545733","0,498535044178188","0,333333333333333",0,"0,355651627959689"
2052,1143846,YKL132C,YJR127C,YMR280C YBL066C YGR067C,0.474737209347564,-0.204897439607032 -0.301414947198186,,"0,000626457834601882","0,434370571037651","0,409116307803815",0,0,"0,144790190345884"
