Alias_3;Gene_name;Alias_1;Alias_2;Rule
b0351;MhpF;mhpf;mhpF;(MhpR)
b0352;MhpE;mhpe;mhpE;(MhpR)
b0353;MhpT;mhpt;mhpT;
b0356;AdhC;adhc;adhC;
b0365;TauA;taua;tauA;(Cbl AND CysB)
b0366;TauB;taub;tauB;(Cbl AND CysB)
b0367;TauC;tauc;tauC;(Cbl AND CysB)
b0368;TauD;taud;tauD;(Cbl AND CysB)
b0369;HemB;hemb;hemB;
b0381;DdlA;ddla;ddlA;
b0386;ProC;proc;proC;
b0388;AroL;arol;aroL;(NOT( (TyrR AND (tyr-L(e)>0)) OR (TyrR AND (tyr-L(e)>0) AND TrpR) ))
b0399;PhoB;phob;phoB;(PhoR)
b0400;PhoR;phor;phoR;(pi(e)<0.000000004)
b0401;BrnQ;brnq;brnQ;
b0403;MalZ;malz;malZ;(MalT)
b0414;RibD;ribd;ribD;
b0415;RibH;ribh;ribH;
b0417;ThiL;thil;thiL;
b0418;PgpA;pgpa;pgpA;
b0420;Dxs;dxs;dxs;
b0421;IspA;ispa;ispA;
b0423;ThiI;thii;thiI;
b0425;PanE;pane;panE;
b0428;CyoE;cyoe;cyoE;(NOT (ArcA OR Fnr))
b0429;CyoD;cyod;cyoD;(NOT (ArcA OR Fnr))
b0430;CyoC;cyoc;cyoC;(NOT (ArcA OR Fnr))
b0431;CyoB;cyob;cyoB;(NOT (ArcA OR Fnr))
b0432;CyoA;cyoa;cyoA;(NOT (ArcA OR Fnr))
b0451;AmtB;amtb;amtB;
b0469;Apt;apt;apt;
b0474;Adk;adk;adk;
b0475;HemH;hemh;hemH;
b0477;Gsk;gsk;gsk;
b0480;UshA;usha;ushA;
b0485;YbaS;ybas;ybaS;
b0504;YbbS;ybbs;ybbS;(NOT(o2(e)>0) AND NOT AllR AND NOT (nh4(e)>0))
b0505;AllA;alla;allA;(NOT AllR)
b0506;AllR;allr;allR;(OFF)
b0507;Gcl;gcl;gcl;(NOT AllR)
b0508;Hyi;hyi;hyi;
b0509;GlxR;glxr;glxR;(NOT AllR)
b0511;AllP;allp;allP;
b0512;AllB;allb;allB;(NOT AllR)
b0514;GlxK;glxk;glxK;(NOT AllR)
b0516;AllC;allc;allC;(YbbS)
b0521;ArcC;arcc;arcC;
b0522;PurK;purk;purK;(NOT (PurR))
b0523;PurE;pure;purE;(NOT (PurR))
b0529;FolD;fold;folD;
b0564;AppY;appy;appY;(NOT DpiA)
b0576;PheP;phep;pheP;
b0583;EntD;entd;entD;(NOT (Fur))
b0586;EntF;entf;entF;
b0593;EntC;entc;entC;(NOT (Fur))
b0594;EntE;ente;entE;(NOT (Fur))
b0595;EntB;entb;entB;(NOT (Fur))
b0596;EntA;enta;entA;(NOT (Fur))
b0612;CitT;citt;citT;(DpiA AND (NOT (o2(e)>0)))
b0615;CitF;citf;citF;(DpiA)
b0616;CitE;cite;citE;(DpiA)
b0617;CitD;citd;citD;(DpiA)
b0619;DpiB;dpib;dpiB;(cit(e)>0)
b0620;DpiA;dpia;dpiA;(DpiB)
b0621;DcuC;dcuc;dcuC;(Fnr OR ArcA)
b0638;PhpB;phpb;phpB;
b0639;NadD;nadd;nadD;
