Rv1437;Rv3676
Rv1438;Rv3676
Rv1475c;Rv3676
Rv1538c;Rv3676
Rv1552;Rv3676
Rv1553;Rv3676
Rv1554;Rv3676
Rv1692;Rv3676
Rv2124c;Rv3676
Rv2215;Rv3676
Rv2220;Rv3676
Rv2436;Rv3676
Rv2443;Rv3676
Rv2454c;Rv3676
Rv2455c;Rv3676
Rv2858c;Rv3676
Rv2859c;Rv3676
Rv2860c;Rv3676
Rv3275c;Rv3676
Rv3276c;Rv3676
Rv3302c;Rv3676
Rv3314c;Rv3676
Rv3316;Rv3676
Rv3318;Rv3676
Rv3319;Rv3676
Rv3332;Rv3676
Rv3396c;Rv3676
Rv3411c;Rv3676
Rv3634c;Rv3676
Rv3696c;Rv3676
Rv0470c;Rv1395
Rv1511;Rv1395
Rv2178c;Rv1395
Rv2320c;Rv1395
Rv2321c;Rv1395
Rv2322c;Rv1395
